enunciados|modelos
En un ciclo Otto de aire estándar, el aire se encuentra a 0.095 MPa y 22 ºC al comenzar la carrera de compresión, y el volumen del cilindro es 2800 cm3. La relación de compresión es 9, y en el proceso de suministro de calor se comunican 3.54 kJ. Utilizando los valores de la Tabla A.5, determínese (a) la temperatura y la presión al final de los procesos de suministro de calor y de expansión. (b) el rendimiento térmico, (c) la presión media efectiva, y (d) el flujo volumétrico de aire, en m3/min, medido en las condiciones existentes al comenzar la compresión, necesario para producir una potencia neta de 110 kW.|Otto
En un ciclo Otto de aire estándar, el aire se encuentra a 0.095 MPa y 22 ºC al comenzar la carrera de compresión, y el volumen del cilindro es 2800 cm3. La relación de compresión es 9, y en el proceso de suministro de calor se transfieren 4.30 kJ. Utilizando los valores de la Tabla A.5, determínese (a) la temperatura y la presión al final de los procesos de suministro de calor y de expansión. (b) el rendimiento térmico, (c) la presión media efectiva, y (d) el flujo volumétrico de aire, en m3/min, medido en las condiciones existentes al comenzar la compresión, necesario para producir una potencia de 120 kW.|Otto
En un ciclo Otto de aire estándar, el aire se encuentra a 14.0 psia y 80 ºF al comenzar la carrera de compresión, y el volumen del cilindro es 0.20 ft3. La relación de compresión es 9, y en el proceso de suministro de calor se transfieren 9.20 Btu. Utilizando los valores de la Tabla A.5I, determínese (a) la temperatura y la presión al final de los procesos de suministro de calor y de expansión, (b) el rendimiento térmico, (c) la presión media efectiva en psi, y (J) el flujo volumétrico de aire, en ft3/min, medido en las condiciones existentes al comenzar la compresión, necesario para producir una potencia de 120 hp.|Otto
En un ciclo Rankine ideal, el vapor de agua entra a la turbina a 40 bar y 440 ºC. Si de la turbina salen 10000 kW, determínese (1) la calidad a la salida de la turbina, (2) el rendimiento térmico, y (3) el flujo másico de vapor, en kg/h, para presiones del condensador de (a) 0.08 bar, y (b) 0.04 bar.|Rankine
En un ciclo Rankine se dispone de vapor sobrecalentado a 2720 kPa y 588 K, el cual entra a la turbina y se expande hasta una presión de 6.89 kPa, para luego entrar al condensador, la temperatura en el estado 2 es de 314 K y el flujo másico es igual a 3700 kg/h, determinar los valores de las variables de estado en los cuatro estados termodinámicos y mostrar el diagrama T-s del ciclo Rankine ideal.|Rankine
En un motor de ciclo Otto la temperatura de la mezcla de aire-combustible es de 28 °C y la temperatura al final de la compresión es de 290 °C. Asumiendo k = 1.4 determinar r y el rendimiento.|Otto
La relación de compresión de un ciclo Otto es 8:1. Antes de comenzar la carrera de compresión en el ciclo la presión es 0.98 bar y la temperatura 27 ºC. Durante el suministro de calor el valor de P3/P2  es 2.90. Utilizando los datos de la Tabla A.5, determínese (a) la presión y la temperatura al final de cada proceso del ciclo, (b) el rendimiento térmico, (c) la presión media efectiva, en bar, y (d) el flujo volumétrico de aire, en m3/min, medido en las condiciones existentes al comenzar la compresión, necesario para producir 120 kW.|Otto
La relación de compresión de un ciclo Otto es 8:1. Antes de comenzar la carrera de compresión en el ciclo la presión es 0.98 bar y la temperatura 27 ºC. El calor suministrado al aire en cada ciclo es 1.430 kJ/kg. Utilizando los datos de la Tabla A.5, determínese (a) la presión y la temperatura al final de cada proceso del ciclo. (b) el rendimiento térmico. (c) la presión media efectiva, en bar, y (d) el flujo volumétrico de aire, en m3/min, medido en las condiciones existentes al comenzar la compresión, necesario para producir 120 kW.|Otto
La relación de compresión de un ciclo Otto es 8:1. Antes de comenzar la carrera de compresión en el ciclo la presión es 14.5 psia y la temperatura 80ºF. El calor suministrado al aire es 888 Btu/lbm por ciclo, utilizando los datos de la Tabla A.51, determínese (a) la presión y la temperatura al final de cada proceso del ciclo. (b) el rendimiento térmico, (c) la presión media efectiva, en psi, y (d) el flujo volumétrico en ft3/min, medido en las condiciones existentes al comenzar la compresión, necesario para producir 110 hp.|Otto
La relación de presiones en un ciclo Brayton de aire estándar es 4.5, y las condiciones de entrada al compresor son 0.10 MPa y 27 ºC. La temperatura de entrada a la turbina está limitada a 827 ºC, y el flujo másico es 4 kg/s. Determínese (a) el trabajo del compresor y de la turbina, en kJ/kg, (b) el rendimiento térmico, (c) la potencia neta de salida, en kW, y (d) el flujo volumétrico a la entrada del compresor, en m3/min. Para los valores del aire utilícese la Tabla A.5.|Joule
La relación de presiones en un ciclo Brayton de aire estándar es 7.2:1, y las condiciones de entrada son 1.0 bar y 17 ºC. La temperatura de entrada a la turbina está limitada a 1.260 K. y el flujo másico es 3.5 kg/s. Determínese (a) el trabajo del compresor y de la turbina, en kJ/kg, (b) el rendimiento térmico, (c) la potencia neta de salida, en kW, y (dZ) el flujo volumétrico a la entrada del compresor, en m3/min. Para los valores del aire utilícese la Tabla A.5.|Joule
Las condiciones de entrada a un ciclo Diesel de aire estándar que funciona con una relación de compresión de 15 son 14.4 psia y 60 ºF. La relación de corte es (a) 2.84, y (b) 2.0. Determínese (1) la presión y la temperatura al final de cada proceso del ciclo, y (2) el rendimiento térmico y la presión media efectiva. Úsese la Tabla A.51.|Diesel
Las condiciones de entrada a un ciclo Diesel de aire estándar que funciona con una relación de compresión de 15:1 son 0.95 bar y 17 ºC. Al comienzo de la compresión el volumen del cilindro es 3.80 L, y el suministro de 7.5 kJ de calor al sistema tiene lugar en un proceso a presión constante. Determínese (a) la presión y la temperatura al final de cada proceso del ciclo, y (b) el rendimiento térmico y la presión media efectiva.|Diesel
Las condiciones de entrada de la turbina de un ciclo Rankine son 30 bar y 500 ºC y la presión a la salida de la misma es 0.1 bar. La turbina funciona adiabáticamente con un rendimiento del 82 por 100. mientras que el rendimiento de la bomba es del 78 por 100. Calcúlese (a) el rendimiento térmico del ciclo, (b) la relación de acoplamiento, (c) el flujo másico de vapor de agua necesario, en kg/h. si la potencia neta de salida es 100 MW, (d) el flujo másico de agua de refrigeración necesario, en kg/h. si la temperatura del agua aumenta desde 18 ºC hasta 28 ºC, y (e) la producción de entropía en la turbina y en la bomba, en kJ/kg K.|Rankine
Las condiciones de entrada en un ciclo Diesel teórico que funciona con una relación de compresión de 18 son 14.4 psia y 60 ºF. La relación de corte es 2. (a) Calcúlese la presión y la temperatura final de cada uno de los procesos del ciclo, y (b) determínese el rendimiento térmico y la presión media efectiva del ciclo.|Diesel
Las condiciones iniciales para un ciclo Otto de aire estándar que funciona con una relación de compresión de 8:1 son 0.95 bar y 17 ºC. El volumen del cilindro al comenzar la carrera de compresión es 2.20 L, y el calor suministrado a volumen constante es 3.60 kJ. (a) Calcúlese la presión y la temperatura al final de cada uno de los procesos del ciclo, y (b) determínese el rendimiento térmico y la presión media efectiva del ciclo.|Otto
Por un ciclo Rankine de una unidad de potencia de vapor de agua circula un flujo másico de 23740 kg/h. El agua entra a la caldera a 100 bar y sale del condensador a 0.10 bar y 45.0 ºC. El flujo másico de agua de refrigeración en el condensador es igual a 1.31 x 10^6 kg/h, donde aumenta su temperatura 8.50 ºC. Determínese (a) la entalpia y entropía a la salida de la turbina, (b) la entalpia a la entrada de la turbina, (c) el calor comunicado en kJ/kg, (d) el rendimiento térmico, y (e) la potencia que sale de la turbina en kW.|Rankine
Un ciclo Brayton de aire estándar funciona con una relación de presiones de 7 y unas temperaturas mínima y máxima de 300 y 1.200 K. Con unos rendimientos adiabáticos del compresor y la turbina de 0.81 y 0.86, respectivamente, y con un flujo volumétrico de aire a la entrada de 30 m3/min. determínese (a) la relación de acoplamiento, (b) el rendimiento térmico, y (c) la potencia neta desarrollada, en kilovatios. (Véase el Problema 15.52.)|Joule
Un ciclo Brayton de aire estándar funciona con una relación de presiones de 7.0. una presión de entrada de 96 kPa y unas temperaturas mínima y máxima de 300 y 1200 K. Si el flujo volumétrico de aire a la entrada es de 30 m3/min, determínese (a) la relación de acoplamiento, (b) el rendimiento térmico, y (c) la potencia neta desarrollada, en kilovatios.|Joule
Un ciclo Brayton ideal de aire estándar funciona con aire que entra al compresor a 0.95 bar y 22 ºC. La relación de presiones rp es 6:1, y el aire sale de la cámara de combustión a 1.100 K. Calcúlese el trabajo suministrado al compresor, el trabajo de salida de la turbina y el rendimiento térmico del ciclo, de acuerdo con los datos de la Tabla A.5.|Joule
Un ciclo Brayton ideal funciona entre las temperaturas extremas de 290 y 1.200 K. Calcúlese utilizando un programa de ordenador y hágase una representación gráfica de (a) el trabajo neto, en kJ/kg, y (b) el rendimiento térmico para un intervalo de la relación de presiones desde 4 hasta 14 en intervalos de 2.|Joule
Un ciclo de aire, se ejecuta en un sistema cerrado y se compone de los siguientes 4 procesos: 1-2 Compresión isoentrópica de 100 kPa y 27ºC a 1 Mpa. 2-3 Adición de calor a P = Ctte en la cantidad de 2840 kJ/kg. 3-4 Rechazo de calor a V=ctte hasta 100 kPa. 4-1 Rechazo de calor a P=ctte hasta el estado inicial. a) Muestre el ciclo en diagramas P-v y T-s. b) Calcule la temperatura máxima en el ciclo. c) Determine la eficiencia térmica.|Diesel
Un ciclo de Otto ideal tiene una relación de compresión de 8. Al inicio del proceso de compresión el aire está a 100 kPa y 17 °C, y 800 kJ/kg de calor se transfieren a volumen constante hacia el aire durante el proceso de adición de calor. Tome en cuenta la variación de los calores específicos del aire con la temperatura y determine a) la temperatura y presión máximas que ocurren durante el ciclo, b) la salida de trabajo neto, c) la eficiencia térmica y d) la presión media efectiva en el ciclo.|Otto
Un ciclo de Otto, con una relación de compresión de 7.5, funciona a partir de condiciones de admisión de 97.91 kPa abs., 29.4 ºC. Calcule la presión y la temperatura al final de la compresión (a) si el aire frío (k = 1.4) es la sustancia de trabajo, (b) si se tiene aire caliente (k = 1.32) como sustancia operante. Compare las respuestas. (e) Determine la eficiencia térmica ideal con base en las rondiciones dadas en (a) y (b).|Otto
Un ciclo Diesel de aire estándar funciona con una relación de compresión de 14.8 y una relación de corte de 2. La temperatura y presión al comienzo de la compresión son 100ºF y 14.5 psia, respectivamente. Determínese (a) la temperatura máxima del ciclo, en grados Rankine, (b) la presión después de la expansión isoentrópica, en psia, y (c) el calor suministrado por ciclo, en Btu/lbm. Utilícense los valores de la Tabla A.5I.|Diesel
Un ciclo Diesel de aire estándar funciona con una relación de compresión de 16.7 y una relación de corte de 2. La temperatura y presión al comienzo de la compresión son 37 ºC y 0.10 MPa, respectivamente. Determínese (a) la temperatura máxima del ciclo, en kelvin. (b) la presión después de la expansión isoentrópica, en MPa. (c) el calor suministrado por ciclo, en kJ/kg, y (d) el flujo volumétrico de aire, medido en las condiciones existentes al comenzar la compresión, necesario para producir 200 kW. Utilícense los valores de la Tabla A.5.|Diesel
Un ciclo Diesel de aire estándar presenta unas condiciones iniciales en donde la temperatura es de 290 K y la presión de 90 kPa. Si la temperatura al final de la compresión es de 700 K y la temperatura máxima del ciclo es de 1650 K, la masa es igual a 1 kg. Determinar los valores de las variables de estado en los cuatro estados termodinámicos. Mostrar los diagramas P-V y T-s del ciclo Diesel.|Diesel
Un ciclo Diesel de aire estándar tiene una relación de compresión de 15.08:1. La presión y la temperatura al comienzo de la compresión son 1 bar y 27 ºC. respectivamente. Si la temperatura máxima del ciclo es 2.250 K, determínese (a) la relación de corte, (b) la presión máxima en bar. (c) el rendimiento térmico, y (J) la presión media efectiva, en bar.|Diesel
Un ciclo Otto de aire estándar funciona con una relación de compresión de 8.50. y el aire al comienzo de la compresión se halla a 14.5 psia y 90 ºF. La presión se triplica en el proceso de suministro de calor. Utilizando la tabla A.51, determínese (a) las temperaturas en el ciclo, en grados Rankine, (b) el rendimiento térmico, (c) la presión media efectiva en psi, y (d) el rendimiento térmico de un motor de Camot que funcionase entre los mismos límites de temperatura.|Otto
Un ciclo Otto de aire estándar funciona con una relación de compresión de 8.55, y el aire al comienzo de la compresión se halla a 98 kPa y 32 ºC. La presión se triplica en el proceso de suministro de calor. Utilizando la tabla A.5, determínese (a) las temperaturas en el ciclo, en kelvin, (b) el rendimiento térmico, (c) la presión media efectiva en kPa, y (d) el rendimiento térmico de un motor de Carnot que funcionase entre los mismos limites de temperatura.|Otto
Un ciclo Otto ideal con aire tomado de la atmósfera como fluido de trabajo, tiene una relación de compresión de 8. Las temperaturas mínima y máxima en el ciclo son 310 K y 1600 K. Determine: a) La cantidad de calor transferido al aire durante el proceso de adición de calor. b) La eficiencia térmica. c) La presión media efectiva y la cilindrada.|Otto
Un ciclo Rankine ideal de potencia de vapor que produce 125 MW de potencia bruta en la turbina tiene las siguientes condiciones de funcionamiento: entrada a la turbina, 80 bar y 560 ºC  presión en el condensador 0.06 bar. Determínese (u) el calor suministrado al ciclo, en kJ/kg, (b) el rendimiento térmico, (c) el flujo másico de vapor en kg/h, y (d) el flujo másico de agua de refrigeración que se necesita en el condensador, en kg/h. si ésta aumenta su temperatura 8 ºC.|Rankine
Un ciclo Rankine ideal produce vapor de agua a 140 bar y 560 ºC y el fluido condensa a 0.06 bar. La salida neta de potencia es 20 MW. Determínese (a) el calor suministrado, en kJ/kg. (b) el rendimiento térmico, (c) el flujo másico de vapor en kg/h, y (d) el flujo másico de agua de refrigeración que se necesita en el condensador, si ésta aumenta su temperatura 10 ºC.|Rankine
Un ciclo Rankine ideal que produce 150 MW de potencia neta tiene unas condiciones de entrada a la turbina para el vapor de 80 bar y 440 ºC y una presión en el condensador 0.080 bar. El agua de refrigeración del condensador aumenta su temperatura 9.4 ºC. Determínese (a) la calidad del vapor a la salida de la turbina, (b) el rendimiento térmico, (c) el flujo másico de vapor necesario en kg/s. y (d) el flujo volumétrico de agua de refrigeración que se necesita, en m3/s, si el agua entra a 18 ºC.|Rankine
Un ciclo Rankine tiene una presión de salida de turbina de 0.008 MPa y una presión de entrada en turbina de 6.0 MPa. Determínese (1) la calidad a la salida de la turbina, (2) el rendimiento térmico, y (3) el flujo másico de vapor, en kg/h, para una potencia neta de salida de 10 MW, con una temperatura de entrada a la turbina de (a) 540 ºC. y (b) 440 ºC.|Rankine
Un ciclo Rankine tiene una presión de salida de turbina de 0.08 bar y una presión de entrada en turbina de 600 ºC. Determínese (1) la calidad a la salida de la turbina, y (2) el rendimiento térmico para una presión de entrada a la turbina de (a) 120 bar, y (h) 60 bar.|Rankine
Un ciclo Rankine utiliza energía solar como fuente térmica y refrigerante 134a como fluido de trabajo. Éste entra a la bomba como líquido saturado a 9 bar y sale a 16 bar. La temperatura de entrada a la turbina es 160 ºC y el flujo másico es 1.000 kg/h. Determínese (a) el trabajo neto de salida en kJ/kg, (b) el rendimiento térmico, y (c) el área, en m2, del colector solar que se necesita si el colector recibe 650 J/m2 s.|Rankine
Un ciclo Rankine utiliza un pequeño acumulador de energía solar a 90 ºC como fuente térmica y refrigerante 134a como fluido de trabajo. Éste entra a la bomba como líquido saturado a 7 bar y sale de la misma a 16 bar. La temperatura de entrada a la turbina es 80 ºC y el flujo másico es 1.200 kg/h. Determínese (a) el trabajo neto de salida en kJ/kg, (b) el rendimiento térmico, y (c) el flujo másico necesario de agua procedente del acumulador, en kg/h, si la temperatura del agua disminuye 5 ºC al atravesar el evaporador del ciclo.|Rankine
Un motor funciona según un ciclo Diesel con una relación de compresión de 15:1, y el combustible se inyecta en el 10 por 100 de la carrera. La presión y la temperatura del aire que entra al ciclindro son 98 kPa y 17 ºC, respectivamente. Determínese (a) la relación de corte, (b) la temperatura al final del proceso de compresión, en kelvin. (c) la presión después de la expansión isoentrópica, en kPa. (d) el calor suministrado, en kJ/kg, y (e) el flujo volumétrico de aire, en m3/kg, medido en las condiciones existentes al comenzar la compresión, necesario para producir una potencia de 200 kW. Utilícese la Tabla A.5.|Diesel
Un motor ideal Otto con 15 % de espacio muerto funciona con 20 lb/min (9.08 kg/min) de aire, inicialmente a 14 psia (0.98 kgf/cm2 abs.) y 120 ºF (49 ºC) utilizar rf/a = 0.0556 lb (comb.)/lb (aire) con un poder calorífico inferior (a volumen constante y a 0 R) de q10 = 19000 Btu/lb (10555 kcal/kg) de combustible (§13.27). Determinar (a) su volumen de desplazamiento y la masa admitida durante la succión en el caso de una eficiencia volumétrica de 75 % (b) las temperaturas y presiones en los vértices del ciclo, figura 16/4  (e) la potencia en hp y la eficiencia térmica  (d) la p.m.e. y la eficiencia motriz al freno en el caso de una eficiencia térmica al freno de 24 %  y (e) la disponibilidad energética en el estado 4 respecto de un resumidero a 14 psia y 120 ºF. Emplear valores de las tablas de aire para el estándar de aire.|Otto
Una planta de turbina de gas que opera en un ciclo Brayton con regeneración, entrega 20000 kW a un generador eléctrico. La temperatura máxima es 1200 K  y la temperatura mínima es 290 K. La presión mínima es 95 kPa y la presión máxima es 380 kPa. La eficiencia del regenerador es de 75%. La eficiencia del compresor es de 80% y la de la turbina es 85%. a) ¿Cuál es la potencia de la turbina? b)¿Qué fracción de la potencia de la turbina es usada para mover|Joule
Un ciclo Diesel ideal con aire como fluido de trabajo tiene una relación de compresión de 18 y una relación de corte de admisión de 2. Al principio del proceso de compresión el fluido de trabajo está a 14.7 psia, 80 °F y 117 pulg3. Utilice las suposiciones de aire estándar frío y determine a) la temperatura y presión del aire al final de cada proceso, b) la salida de trabajo neto y la eficiencia térmica y c) la presión media efectiva.|Diesel
Una central eléctrica de turbina de gas que opera en un ciclo Brayton ideal tiene una relación de presión de 8. La temperatura del gas es de 300 K en la entrada del compresor y de 1 300 K en la entrada de la turbina. Utilice las suposiciones de aire estándar y determine a) la temperatura del gas a la salida del compresor y de la turbina, b) la relación del trabajo de retroceso y c) la eficiencia térmica.|Joule
Considere una central eléctrica de vapor que opera en el ciclo Rankine ideal simple. El vapor de agua entra a la turbina a 3 MPa y 350 °C y es condensado en el condensador a una presión de 75 kPa. Determine la eficiencia térmica de este ciclo.|Rankine
"Un ciclo ideal de Otto tiene una relación de compresión de 10.5, admite aire a 90 kPa y 40 °C y se repite 2 500 veces por minuto. Usando calores específicos constantes a
temperatura ambiente, determine la eficiencia térmica de este ciclo y la tasa de suministro de calor si el ciclo ha de producir 90 kW de potencia.|Otto"
"Un motor de ignición de seis cilindros, cuatro tiempos, con encendido por chispa, operando en el ciclo ideal de
Otto, toma aire a 14 psia y 65 °F, y está limitado a una temperatura máxima de ciclo de 1 600 °F. Cada cilindro tiene un diámetro de 3.5 pulg, y cada émbolo tiene una carrera de 3.9
pulg. El volumen mínimo confinado es 14 por ciento del volumen máximo confinado. ¿Cuánta potencia producirá este motor cuando opera a 2 500 rpm? Use calores específicos constantes a temperatura ambiente.|Otto"
"Un motor de ignición por chispa tiene una relación de compresión de 8, una eficiencia isentrópica de compresión de 85 por ciento y una eficiencia isentrópica de expansión de 95
por ciento. Al principio de la compresión, el aire en el cilindro está a 13 psia y 60 °F. La temperatura máxima que se encuentra por medición es 2.300 °F. Determine el calor suministrado por unidad de masa, la eficiencia térmica y la presión efectiva media de este motor cuando se modela con el ciclo de Otto. Use calores específicos constantes a temperatura ambiente. |Otto"
"La relación de compresión de un ciclo de Otto de aire estándar es 9.5. Antes del proceso de compresión isentrópica, el aire está a 100 kPa, 35 °C y 600 cm3. La temperatura al final del proceso de expansión isentrópica es de 800 K. Usando valores de calores específicos a temperatura ambiente, determine a) la temperatura más alta y la presión más alta en el ciclo; b) la cantidad de calor transferido al fluido de trabajo, en kJ; c) la eficiencia térmica, y d) la presión media efectiva.|Otto"
Un ciclo de Otto ideal con aire como fluido de trabajo tiene una relación de compresión de 8. Las temperaturas mínima y máxima del ciclo son 540 y 2.400 R. Teniendo en cuenta la variación de calores específicos con la temperatura, determine a) la cantidad de calor transferido al aire durante el proceso de adición de calor, b) la eficiencia térmica y c) la eficiencia térmica de un ciclo de Carnot que opera entre los mismos límites de temperatura.|Otto
"Un motor de gasolina de cuatro cilindros y cuatro tiempos, de 1.6 L, opera en ciclo de Otto con una relación de compresión de 11. El aire está a 100 kPa y 37 °C al inicio del proceso de compresión, y la presión máxima en el ciclo es de 8 MPa. Los procesos de compresión y expansión pueden modelarse como politrópicos, con una constante politrópica de 1.3. Usando calores específicos constantes a 850 K, determine a) la temperatura al final del proceso de expansión, b) la producción neta de trabajo y la eficiencia térmica, c) la presión media efectiva, d) el número de revoluciones por minuto del motor para una producción de potencia neta de 50 kW y e) el consumo específico de combustible, en g/kWh, definido como la relación de la masa de combustible consumido al trabajo neto producido.|Otto
La relación aire-combustible, definida como la cantidad de aire
dividida entre la cantidad de combustible admitido, es 16.|Otto"
Un ciclo Diesel ideal tiene una relación de compresión de 20 y una relación de cierre de admisión de 1.3. Determine la temperatura máxima del aire y la tasa de adición de calor a este ciclo cuando produce 250 kW de potencia y el estado del aire al inicio de la compresión es 90 kPa y 15 °C. Use calores específicos constantes a temperatura ambiente.|Diesel
Un ciclo Diesel ideal tiene una temperatura máxima de ciclo de 2.300 °F y una relación de cierre de admisión de 1.4. El estado del aire al principio de la compresión es P1  14.4 psia y T1  50 °F. Este ciclo se ejecuta en motor de cuatro tiempos, de ocho cilindros, con un diámetro interior de cilindro de 4 pulg y una carrera de pistón de 4 pulg. El volumen mínimo confinado en el cilindro es 4.5 por ciento del volumen máximo del cilindro. Determine la potencia que produce este motor cuando opera a 1.800 rpm. Use calores específicos constantes a temperatura ambiente.|Diesel
Un ciclo dual de aire estándar tiene una relación de compresión de 14 y una relación de cierre de admisión de 1.2. La relación de presiones durante el proceso de adición de calor a volumen constante es 1.5. Determine la eficiencia térmica, la cantidad de calor agregada y la presión y la temperatura máximas del gas cuando se opera este ciclo a 80 kPa y 20 °C al principio de la compresión. Use calores específicos constantes a temperatura ambiente.|Diesel
Un ciclo Diesel de aire estándar tiene una relación de compresión de 18.2. El aire está a 80 °F y 14.7 psia al inicio del proceso de compresión, y a 3.000 R al final del proceso de adición de calor. Tomando en cuenta las variaciones de calores específicos con la temperatura, determine a) la relación de cierre de admisión, b) el rechazo de calor por unidad de masa y c) la eficiencia térmica.|Diesel
Un motor ideal Diesel tiene una relación de compresión de 20 y usa aire como fluido de trabajo. El estado del aire al principio del proceso de compresión es 95 kPa y 20 °C. Si la temperatura máxima en el ciclo no ha de exceder 2.200 K, determine a) la eficiencia térmica y b) la presión efectiva media. Suponga calores específicos constantes para el aire a temperatura ambiente.|Diesel
Un motor diesel de cuatro cilindros, de dos tiempos, de 2.0 L, que opera en un ciclo Diesel ideal tiene una relación de compresión de 22 y una relación de cierre de admisión de 1.8. El aire está a 70 °C y 97 kPa al principio del proceso de compresión. Usando las suposiciones de aire estándar frío, determine cuánta potencia entregará el motor a 2 300 rpm.|Diesel
Un ciclo dual de aire estándar tiene una relación de compresión de 18 y una relación de cierre de admisión de 1.1. La relación de presiones durante el proceso de adición de calor a volumen constante es 1.1. Al principio de la compresión P1  90 kPa, T1  18 °C y V1  0.003 m3. ¿Cuánta potencia producirá este ciclo cuando se ejecute 4.000 veces por minuto? Use calores específicos constantes a temperatura ambiente.|Diesel
